Program,Version,Package,Core,GPU,DRAM,Time,Temperature,Memory,Runs
bt,1.85.0,34.91,20.73,0.46,1.08,1201.21,58.42,4580.0,20
bt,1.90.0,36.59,20.94,0.47,1.17,1329.01,61.98,4424.0,20
bt,stable,35.34,19.92,0.46,1.16,1308.52,63.04,4476.0,20
cg,1.85.0,9.23,5.47,0.33,0.43,295.55,56.82,9668.0,20
cg,1.90.0,9.51,5.55,0.32,0.44,314.03,62.57,9660.0,20
cg,stable,9.15,5.35,0.32,0.43,300.64,62.09,9692.0,20
ep,1.85.0,48.15,25.0,0.22,1.65,2013.88,52.48,3440.0,20
ep,1.90.0,48.83,25.87,0.1,1.58,2007.93,59.92,3408.0,20
ep,stable,47.93,24.92,0.09,1.58,2014.15,61.58,3468.0,20
ft,1.85.0,5.99,3.42,0.18,0.3,205.17,55.62,22940.0,20
ft,1.90.0,6.3,3.7,0.2,0.31,205.14,62.2,22824.0,20
ft,stable,5.82,3.34,0.18,0.29,198.35,63.5,22984.0,20
is,1.85.0,3.76,2.01,0.1,0.17,143.43,55.78,10312.0,20
is,1.90.0,3.78,2.01,0.11,0.17,144.19,61.54,10404.0,20
is,stable,3.81,2.0,0.11,0.18,147.46,62.53,10424.0,20
lu,1.85.0,83.82,50.28,0.78,2.56,2868.07,61.18,7980.0,20
lu,1.90.0,81.06,47.11,0.76,2.58,2905.72,63.52,8016.0,20
lu,stable,82.64,47.68,0.76,2.65,2993.79,64.28,8064.0,20
mg,1.85.0,9.64,5.35,0.2,0.56,349.07,56.32,58696.0,20
mg,1.90.0,9.89,5.58,0.22,0.57,349.04,62.42,58684.0,20
mg,stable,9.85,5.55,0.23,0.57,347.12,63.66,58756.0,20
sp,1.85.0,73.18,44.15,0.96,2.79,2440.59,59.98,10532.0,20
sp,1.90.0,72.22,42.17,0.98,2.84,2527.24,63.2,10576.0,20
sp,stable,71.71,41.49,0.98,2.86,2542.56,63.9,10624.0,20
